Codigo_Item_Negativo;Descricao_Item_Negativo;NCM;Saldo_Loja1;Saldo_Loja2_Deposito;Saldo_Loja3_CD;Deficit_Pecas;Status_Cobertura;Saldo_Total_Disponivel_NCM;Doador1_Codigo;Doador1_Descricao;Doador1_Saldo_Total;Doador1_Loja1;Doador1_Loja2;Doador1_Loja3;Doador2_Codigo;Doador2_Descricao;Doador2_Saldo_Total;Doador2_Loja1;Doador2_Loja2;Doador2_Loja3;Doador3_Codigo;Doador3_Descricao;Doador3_Saldo_Total;Doador3_Loja1;Doador3_Loja2;Doador3_Loja3
"15808";"SM999097 ANEL LAÇO";"71179000";-14,00;0,00;0,00;14,00;"COBERTURA_TOTAL";119.509,00;"31457";"64800 BRANCELETE";3.422,00;1.158,00;0,00;2.264,00;"29336";"BIJUTERIA MATRIZ 71179000";2.356,00;2.356,00;0,00;0,00;"30307";"ARTIGOS P/CABELO - NCM71179000 - MATRIZ";1.804,00;803,00;0,00;1.001,00
"15813";"SM050043 ANEL";"71179000";-65,00;0,00;0,00;65,00;"COBERTURA_TOTAL";119.509,00;"31457";"64800 BRANCELETE";3.422,00;1.158,00;0,00;2.264,00;"29336";"BIJUTERIA MATRIZ 71179000";2.356,00;2.356,00;0,00;0,00;"30307";"ARTIGOS P/CABELO - NCM71179000 - MATRIZ";1.804,00;803,00;0,00;1.001,00
"15823";"SM178020 ANEL";"71179000";-21,00;0,00;0,00;21,00;"COBERTURA_TOTAL";119.509,00;"31457";"64800 BRANCELETE";3.422,00;1.158,00;0,00;2.264,00;"29336";"BIJUTERIA MATRIZ 71179000";2.356,00;2.356,00;0,00;0,00;"30307";"ARTIGOS P/CABELO - NCM71179000 - MATRIZ";1.804,00;803,00;0,00;1.001,00
"15824";"SM665040 CONJUNTO DO STITCH";"96151100";-5,00;0,00;0,00;5,00;"COBERTURA_TOTAL";24.342,00;"7302";"DIVA -LB029-038-ORNAMENTO PARA CABELO (PIRANHA) - PLASTICO - 6 PECAS POR CARTELA";2.733,00;2.733,00;0,00;0,00;"21476";"GRAMPO/PIRANHA/PRESILHA  - NCM:96151100 - MATRIZ";2.408,00;1.924,00;0,00;484,00;"41513";"CB9888-T64211 -PIRANHA";1.835,00;1.835,00;0,00;0,00
"15828";"SM050046 ANEL";"71179000";-14,00;0,00;0,00;14,00;"COBERTURA_TOTAL";119.509,00;"31457";"64800 BRANCELETE";3.422,00;1.158,00;0,00;2.264,00;"29336";"BIJUTERIA MATRIZ 71179000";2.356,00;2.356,00;0,00;0,00;"30307";"ARTIGOS P/CABELO - NCM71179000 - MATRIZ";1.804,00;803,00;0,00;1.001,00
"15829";"SM665037 CONJUNTO DO STITCH";"96151100";-12,00;0,00;0,00;12,00;"COBERTURA_TOTAL";24.342,00;"7302";"DIVA -LB029-038-ORNAMENTO PARA CABELO (PIRANHA) - PLASTICO - 6 PECAS POR CARTELA";2.733,00;2.733,00;0,00;0,00;"21476";"GRAMPO/PIRANHA/PRESILHA  - NCM:96151100 - MATRIZ";2.408,00;1.924,00;0,00;484,00;"41513";"CB9888-T64211 -PIRANHA";1.835,00;1.835,00;0,00;0,00
"15830";"SM665044 CONJUNTO DO STITCH";"96151100";-11,00;0,00;0,00;11,00;"COBERTURA_TOTAL";24.342,00;"7302";"DIVA -LB029-038-ORNAMENTO PARA CABELO (PIRANHA) - PLASTICO - 6 PECAS POR CARTELA";2.733,00;2.733,00;0,00;0,00;"21476";"GRAMPO/PIRANHA/PRESILHA  - NCM:96151100 - MATRIZ";2.408,00;1.924,00;0,00;484,00;"41513";"CB9888-T64211 -PIRANHA";1.835,00;1.835,00;0,00;0,00
"15832";"SM665060 CONJUNTO DO STITCH";"96151100";-7,00;0,00;0,00;7,00;"COBERTURA_TOTAL";24.342,00;"7302";"DIVA -LB029-038-ORNAMENTO PARA CABELO (PIRANHA) - PLASTICO - 6 PECAS POR CARTELA";2.733,00;2.733,00;0,00;0,00;"21476";"GRAMPO/PIRANHA/PRESILHA  - NCM:96151100 - MATRIZ";2.408,00;1.924,00;0,00;484,00;"41513";"CB9888-T64211 -PIRANHA";1.835,00;1.835,00;0,00;0,00
"15833";"SM665039 CONJUNTO DO STITCH";"96151100";-11,00;0,00;0,00;11,00;"COBERTURA_TOTAL";24.342,00;"7302";"DIVA -LB029-038-ORNAMENTO PARA CABELO (PIRANHA) - PLASTICO - 6 PECAS POR CARTELA";2.733,00;2.733,00;0,00;0,00;"21476";"GRAMPO/PIRANHA/PRESILHA  - NCM:96151100 - MATRIZ";2.408,00;1.924,00;0,00;484,00;"41513";"CB9888-T64211 -PIRANHA";1.835,00;1.835,00;0,00;0,00
"15835";"SM955001 CHAVEIRO PARA CELULAR";"71171900";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15848";"SM665058 CONJUNTO DO STITCH";"96151100";-13,00;0,00;0,00;13,00;"COBERTURA_TOTAL";24.342,00;"7302";"DIVA -LB029-038-ORNAMENTO PARA CABELO (PIRANHA) - PLASTICO - 6 PECAS POR CARTELA";2.733,00;2.733,00;0,00;0,00;"21476";"GRAMPO/PIRANHA/PRESILHA  - NCM:96151100 - MATRIZ";2.408,00;1.924,00;0,00;484,00;"41513";"CB9888-T64211 -PIRANHA";1.835,00;1.835,00;0,00;0,00
"15851";"SM665041 CONJUNTO DO STITCH";"96151100";-9,00;0,00;0,00;9,00;"COBERTURA_TOTAL";24.342,00;"7302";"DIVA -LB029-038-ORNAMENTO PARA CABELO (PIRANHA) - PLASTICO - 6 PECAS POR CARTELA";2.733,00;2.733,00;0,00;0,00;"21476";"GRAMPO/PIRANHA/PRESILHA  - NCM:96151100 - MATRIZ";2.408,00;1.924,00;0,00;484,00;"41513";"CB9888-T64211 -PIRANHA";1.835,00;1.835,00;0,00;0,00
"15858";"SM665056 CONJUNTO DO STITCH";"96151100";-12,00;0,00;0,00;12,00;"COBERTURA_TOTAL";24.342,00;"7302";"DIVA -LB029-038-ORNAMENTO PARA CABELO (PIRANHA) - PLASTICO - 6 PECAS POR CARTELA";2.733,00;2.733,00;0,00;0,00;"21476";"GRAMPO/PIRANHA/PRESILHA  - NCM:96151100 - MATRIZ";2.408,00;1.924,00;0,00;484,00;"41513";"CB9888-T64211 -PIRANHA";1.835,00;1.835,00;0,00;0,00
"15859";"SM050041 ANEL";"71179000";-22,00;0,00;0,00;22,00;"COBERTURA_TOTAL";119.509,00;"31457";"64800 BRANCELETE";3.422,00;1.158,00;0,00;2.264,00;"29336";"BIJUTERIA MATRIZ 71179000";2.356,00;2.356,00;0,00;0,00;"30307";"ARTIGOS P/CABELO - NCM71179000 - MATRIZ";1.804,00;803,00;0,00;1.001,00
