Quebra 1;Quebra 2;Código;Descrição;EMB;NCM;Estoque;Estoque Mínimo;Estoque Máximo;Custo (R$);Preço (R$);Total Custo (R$);Total Venda (R$)
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17595;TRC0432 CORTADOR DE VEGETAIS 5 EM 1 7X20X5CM;UN;82055100;37,00;0,00;0,00;4,19;19,95;155,03;738,15
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17597;TRC0494 PRATELEIRA ORGANIZADORA 57X345X56CM;UN;39249000;91,00;0,00;0,00;87,40;109,90;7953,40;10000,90
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17598;OIF-7401 MUNHEQUEIRA ESPORTIVA DE COMPRESSAO:;UN;95069900;1,00;0,00;0,00;1,00;11,00;1,00;11,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17599;662-32 BOLSA;UN;42029200;15,00;0,00;0,00;8,00;78,50;120,00;1177,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17600;TRC1048 BANDEJA RETANGULAR DE MADEIRA MEDIO;UN;44199000;12,00;0,00;0,00;0,00;20,00;0,00;240,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17603;OIF-7403 JOELHEIRA ESPORTIVA DE COMPRESSAO;UN;95069900;20,00;0,00;0,00;14,55;15,50;291,00;310,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17605;TRC0603 UTENSILHO COZINHA 4 PC 3 COR - TOPCHEF;UN;82119210;30,00;0,00;0,00;4,46;16,00;133,80;480,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17607;807-1 BOLSA;UN;42029200;15,00;0,00;0,00;5,00;78,50;75,00;1177,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17608;TRC0520 BOLSA TERMICA 32X23X27CM 19L 4 CORES;UN;42022220;25,00;0,00;0,00;5,00;79,50;125,00;1987,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17610;08826 BOLSA;UN;42029200;21,00;0,00;0,00;7,00;80,00;147,00;1680,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17611;835 BOLSA;UN;42029200;7,00;0,00;0,00;17,00;85,00;119,00;595,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17613;TRC6831 PRATELEIRA BANHEIRO 26X13CM;UN;39269090;3,00;0,00;0,00;7,44;27,00;22,32;81,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17614;L8800-1 BOLSA;UN;42029200;14,00;0,00;0,00;16,00;80,00;224,00;1120,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17616;TRC4542 TABUA PLASTICO CORTE 37X23CM- TOPCHEF;UN;39241000;72,00;0,00;0,00;1,81;12,50;130,32;900,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17618;TRC7201 TABUA DE CARVALHO P/ CORTE 29.5X195X1CM;UN;44191100;3,00;0,00;0,00;3,76;13,50;11,28;40,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17622;9928-1 BOLSAS;UN;42022900;21,00;0,00;0,00;7,00;81,50;147,00;1711,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17623;TRC8860 FACA DE COZINHA 5 - TOPCHEF;UN;82119210;1,00;0,00;0,00;2,04;7,50;2,04;7,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17624;TRC0269 ESCOVA P/ PET 19X5.3CM;UN;96039000;50,00;0,00;0,00;3,79;13,50;189,50;675,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17625;TRC8870 FACA DE COZINHA 3.5  - TOPCHEF;UN;82119210;1,00;0,00;0,00;2,24;8,00;2,24;8,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17630;8819 BOLSA;UN;42029200;21,00;0,00;0,00;5,00;88,00;105,00;1848,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17631;TRC7001 ESCORREDOR PRATOS 34X34X36CM- TOPCHEF;UN;44191900;20,00;0,00;0,00;11,40;41,00;228,00;820,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17636;6143 BOLSA DE OMBRO FEMININA TAMANHO PEQUENO MATERIAL 100% POLIEST;UN;42022210;25,00;0,00;0,00;19,52;0,00;488,00;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17637;TRC8864 FACA DE COZINHA 9 - TOPCHEF;UN;82119210;5,00;0,00;0,00;2,65;9,50;13,25;47,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17639;A877 ORGANIZADOR DE BANCADA 22*12.6*11 CM;UN;39249000;22,00;0,00;0,00;5,62;16,00;123,64;352,00
