Codigo;Descricao;EMB;NCM;Saldo_Loja_1;Saldo_Loja_2_Deposito;Saldo_Loja_3_CD;Saldo_Total;Custo_Unit;Preco_Unit;Valor_Estoque_Total
"32478";"CB003  BICOLOR ROSA BEGE QUEEN";"UN";"94044000";1,00;0,00;2,00;3,00;125,00;225,00;375,00
"32479";"CB003  BICOLOR CINZA CINZA QUEEN";"UN";"94044000";1,00;0,00;2,00;3,00;125,00;225,00;375,00
"32481";"CB004   BICOLOR BRANCO BEGE KING";"UN";"94044000";1,00;0,00;2,00;3,00;135,00;243,00;405,00
"32482";"CB004   BICOLOR ROSA BEGE KING";"UN";"94044000";1,00;0,00;2,00;3,00;135,00;243,00;405,00
"32483";"CB004   BICOLOR CINZA CINZA KING";"UN";"94044000";1,00;0,00;2,00;3,00;135,00;243,00;405,00
"32484";"CB004   BICOLOR VERDE CINZA KING";"UN";"94044000";1,00;0,00;2,00;3,00;135,00;243,00;405,00
"32488";"ON-LD044 CHURRASQUEIRA DOBRAVEL A CARVAO";"UN";"73211900";5,00;0,00;0,00;5,00;33,94;109,99;169,70
"32489";"PT12524 BATE PALMA BRASIL 27CM";"UN";"95059000";30,00;0,00;16,00;46,00;0,74;6,50;34,04
"32490";"PT12538 BANDEIRA BRASIL 140X90CM";"UN";"95059000";161,00;0,00;0,00;161,00;1,92;13,00;309,12
"32491";"PT12278 BANDEIRA BRASIL C/ HASTE 28CM";"UN";"95059000";1.080,00;0,00;2,00;1.082,00;0,15;1,50;162,30
"32492";"PT12291 BANDEIRA BRASIL P/ CAPO CARRO";"UN";"95059000";36,00;0,00;0,00;36,00;7,96;54,00;286,56
"32493";"PT12296 BANDEIRA BRASIL LONGA 128CM";"UN";"95059000";333,00;0,00;0,00;333,00;1,18;8,00;392,94
"32495";"J935-1601 - COLAR DE AÇO";"UN";"71171900";1,00;0,00;0,00;1,00;4,80;12,00;4,80
"32496";"J368-1015 - COLAR DE AÇO";"UN";"71171900";63,00;0,00;0,00;63,00;6,00;15,00;378,00
"32497";"J916-0106 - COLAR DE AÇO";"UN";"71171900";11,00;0,00;0,00;11,00;4,00;10,00;44,00
"32498";"J368-1105 - COLAR DE AÇO";"UN";"71171900";16,00;0,00;0,00;16,00;6,00;15,00;96,00
"32499";"J345-0557 - COLAR DE AÇO";"UN";"71171900";15,00;0,00;0,00;15,00;7,33;18,50;109,95
"32500";"J229-0267 - COLAR DE AÇO";"UN";"71171900";20,00;0,00;0,00;20,00;5,20;13,00;104,00
"32501";"J696-0321 - COLAR DE AÇO";"UN";"71171900";14,00;0,00;0,00;14,00;4,00;10,00;56,00
"32502";"G696-0321 - COLAR DE AÇO";"UN";"71171900";18,00;0,00;0,00;18,00;3,20;8,00;57,60
"32504";"J276-0158 - COLAR DE AÇO";"UN";"71171900";13,00;0,00;0,00;13,00;8,00;20,00;104,00
"32505";"G276-0158 - COLAR DE AÇO";"UN";"71171900";17,00;0,00;0,00;17,00;6,67;16,50;113,39
"32506";"J928-0104 - COLAR DE AÇO";"UN";"71171900";22,00;0,00;0,00;22,00;5,20;13,00;114,40
"32507";"G928-0104 - COLAR DE AÇO";"UN";"71171900";3,00;0,00;0,00;3,00;4,00;10,00;12,00
"32508";"J928-0103 - COLAR DE AÇO";"UN";"71171900";10,00;0,00;0,00;10,00;3,20;8,00;32,00
