Codigo;Descricao;NCM;Loja_Origem;Loja_Destino;Qtd_Transferir;Custo_Unit;Valor_Transferencia;Saldo_Origem_Antes;Saldo_Origem_Depois;Saldo_Destino_Antes;Saldo_Destino_Depois
"34483";"88886 BOLSA  MÉDIA";"42022220";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;22,79;22,79;9,00;8,00;-1,00;0,00
"34521";"TRC7819 AFIADOR DE FACA";"82055100";"Loja 3 (CD)";"Loja 1 (Loja)";26,00;1,27;33,02;100,00;74,00;-26,00;0,00
"34524";"DMT0350 CARRINHO ROLIMA GIRO DIVERTIDO";"95030010";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;72,79;72,79;5,00;4,00;-1,00;0,00
"34525";"DMT0351 CARRINHO ROLIMA GIRO DIVERTIDO";"95030010";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;72,79;72,79;5,00;4,00;-1,00;0,00
"34559";"DMT7181 DISCO BALL GOL DM SPORTS";"95030097";"Loja 3 (CD)";"Loja 1 (Loja)";4,00;18,58;74,32;12,00;8,00;-4,00;0,00
"34560";"DMT7180 DISCO BALL DM SPORTS";"95030097";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;9,98;9,98;24,00;23,00;-1,00;0,00
"34593";"IDL2252 ENFEITE BOUQUET DE ROSAS";"63079090";"Loja 3 (CD)";"Loja 1 (Loja)";13,00;5,00;65,00;72,00;59,00;-13,00;0,00
"34594";"IDL2254 PORTA JOIAS";"39249000";"Loja 3 (CD)";"Loja 1 (Loja)";47,00;4,38;205,86;100,00;53,00;-47,00;0,00
"34596";"IDL2262 KIT PRESENTE COM 3 FLORES ARTIFICIAIS";"63079090";"Loja 3 (CD)";"Loja 1 (Loja)";11,00;4,63;50,93;240,00;229,00;-11,00;0,00
"34597";"IDL2263 KIT PRESENTE COM 3 ROSAS ARTIFICIAIS";"63079090";"Loja 3 (CD)";"Loja 1 (Loja)";15,00;4,88;73,20;240,00;225,00;-15,00;0,00
"34626";"MJ6157 GARGANTILHA - MONÇÕES";"71179000";"Loja 3 (CD)";"Loja 1 (Loja)";3,00;3,43;10,29;6,00;3,00;-3,00;0,00
"34628";"MJ19143 GARGANTILHA - MONÇÕES";"71179000";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;2,59;2,59;6,00;5,00;-1,00;0,00
"34630";"MJ20376 GARGANTILHA - MONÇÕES";"71179000";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;2,73;2,73;2,00;1,00;-1,00;0,00
"34631";"MJ20426 GARGANTILHA - MONÇÕES";"71179000";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;3,57;3,57;6,00;5,00;-1,00;0,00
"34632";"MJ20459 GARGANTILHA - MONÇÕES";"71179000";"Loja 3 (CD)";"Loja 1 (Loja)";2,00;1,96;3,92;6,00;4,00;-2,00;0,00
"34635";"MJ13646 PULSEIRA - MONÇÕES";"71179000";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;1,12;1,12;6,00;5,00;-1,00;0,00
"34636";"MJ23008 GARGANTILHA - MONÇÕES";"71179000";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;2,94;2,94;6,00;5,00;-1,00;0,00
"34637";"MJ23166 GARGANTILHA - MONÇÕES";"71179000";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;1,54;1,54;1,00;0,00;-1,00;0,00
