Codigo;qtd
31465;30
31466;30
31467;30
31469;30
31470;30
31471;30
31472;30
31473;30
31474;30
31475;30
31476;30
31477;30
31478;30
31492;200
31510;1
31527;12
31658;20
31659;20
31660;20
31661;29
31662;29
31663;29
31664;29
31665;29
31666;29
31750;72
31752;72
31753;60
31755;50
31756;40
31757;40
31758;50
31759;40
31760;50
31761;40
31763;50
31861;50
31862;40
31863;50
31864;16
31865;16
31866;60
31867;50
31868;16
31869;50
31870;60
31871;16
31873;16
31886;12
31888;12
31890;12
31891;12
31892;12
31893;12
31894;12
31895;12
31896;24
31897;12
31898;12
31899;20
31900;20
31901;15
31902;15
31903;15
31904;15
31905;12
31906;12
31907;12
31908;12
31909;12
31910;12
31911;18
31912;12
31913;18
31914;15
31921;15
31922;12
31923;12
31924;12
31925;12
31926;18
31927;18
31928;12
31929;12
31930;18
31931;18
31932;18
31933;18
31935;18
31937;18
31938;18
31939;18
31941;12
31942;24
31943;18
8880;18
8881;28
8939;4
8940;1
8952;20
8953;72
8970;92
8972;28
8974;21
8980;17
8982;63
8986;89
8990;50
8993;12
9012;75
9016;10
9033;68
9036;41
9044;30
9047;28
9049;60
9061;88
9071;38
9075;12
9078;60
9080;15
9117;20
9170;35
9173;10
9177;32
9178;10
9203;30
9204;1
9213;3
9214;1
9345;1
9456;40
9461;10
9462;81
9472;48
9480;20
9483;6
9487;6
9491;72
9493;35
9494;60
9500;50
9505;91
9507;10
9525;80
9528;20
9532;1
9536;1
9542;60
9545;36
9550;60
9552;1
9556;1
9557;1
9562;30
9565;28
9567;40
9568;10
9570;40
9572;45
9573;25
9574;10
9575;4
9633;72
9636;23
9687;8
9804;47
9840;2
9865;30
9891;55
9894;2
9897;50
9898;55
9931;31
9944;6
9947;11
9949;1
9950;10
9973;35
9976;5
9984;20
9991;80
9992;1
9995;90
9996;35
9997;60
9998;4
9999;6
10000;6
10001;51
10005;39
10052;40
10107;60
10124;75
12644;70
13682;11
16108;4
16487;50
16491;8
16492;12
16493;15
16495;1
16496;4
16497;4
16498;15
16499;36
16501;5
16503;15
16504;30
16505;12
16507;29
16514;49
16515;54
16518;53
16522;63
16524;10
16526;66
16528;64
16530;52
16531;73
16534;3
16555;12
16560;30
16573;1
16574;1
16575;1
16578;1
16587;21
16590;6
16593;4
16596;5
16599;8
16608;37
16612;60
16615;24
16616;53
16621;29
16623;8
16625;21
16626;18
16627;60
16628;33
16630;2
16632;24
16633;11
16638;18
16639;15
16640;13
16641;15
16642;10
16643;91
16645;18
16646;8
16647;10
16648;15
16651;6
16653;30
16660;15
16661;18
16662;42
16663;15
16666;42
16667;30
16669;30
16670;15
16671;15
16672;15
16674;15
16679;30
16686;15
16687;30
16694;14
16697;12
16699;18
16703;42
16707;14
16712;18
16714;88
16717;15
16721;15
16723;15
16724;30
16726;15
16727;15
16737;15
16740;18
16742;23
16746;10
16749;20
16756;14
16762;10
16797;24
16799;20
16800;5
16801;23
16803;18
16807;20
17594;12
17595;37
17597;91
17598;1
17599;15
17600;12
17603;20
17605;30
17607;15
17608;25
17610;21
17611;7
17613;3
17614;14
17616;72
17618;3
17622;21
17623;1
17624;50
17625;1
17630;21
17631;20
17636;25
17637;5
17639;22
17640;12
17641;16
17644;5
17648;40
17650;31
17651;30
17652;29
17653;63
17659;4
17661;2
17663;48
17664;6
17665;6
17666;52
17667;7
17668;60
17669;20
17670;1
17671;78
17672;4
17673;50
17674;50
17675;3
17676;16
17677;88
17678;16
17682;24
17683;93
17687;73
17688;86
17690;24
17691;16
17694;49
17695;48
17696;47
17698;24
17701;24
17702;3
17703;3
17711;31
17712;5
17716;34
17718;25
17719;95
17723;3
17726;1
17728;36
17731;60
17734;35
17735;25
17736;1
17737;49
17738;2
17742;11
17743;49
17744;1
17745;40
17746;17
17747;19
17748;26
17752;72
17754;12
17759;45
17761;51
17762;11
17768;65
17770;6
17771;8
17772;52
17775;26
17776;67
17777;63
17779;16
17780;1
19451;10
21242;30
22135;1
22149;70
22151;8
22153;5
22154;5
22155;20
22156;13
22158;6
22160;24
22162;3
22166;15
22167;30
22169;19
22170;22
22171;20
22172;14
22173;30
22174;15
22186;13
22189;12
22203;2
22206;12
22210;6
22214;12
22216;11
22223;6
22227;24
22229;24
22234;20
22235;36
22237;88
22238;88
22247;24
22248;8
22253;4
22255;7
22265;24
22267;24
22271;60
22273;18
22279;36
22280;30
22300;24
22302;24
22318;24
22342;25
22352;3
22355;36
22357;60
22358;12
22361;6
22366;8
22369;84
22370;26
22371;24
22375;24
22376;12
22377;48
22378;8
22379;12
22381;48
22382;3
22383;12
22388;10
22390;24
22394;6
22401;1
22402;36
22403;1
22408;2
22412;70
22422;46
22423;25
22427;37
22437;9
